Tamano del vector, bytes, tiempo_local, tiempo_global, tiempo_dinamico
65536, 262144, 0.000596538,0.000626384,0.000537568,
131072, 524288, 0.001012060,0.000993618,0.000917375,
262144, 1048576, 0.001836437,0.001795008,0.001689816,
524288, 2097152, ,0.001817474,0.001664590,
1048576, 4194304, ,0.003699278,0.003716485,
2097152, 8388608, ,0.008314235,0.008267833,
4194304, 16777216, ,0.014575980,0.014130959,
8388608, 33554432, ,0.029748998,0.029011607,
16777216, 67108864, ,0.057166181,0.057237673,
33554432, 134217728, ,0.111418051,0.109179003,
67108864, 268435456, ,0.111650520,0.219743272,
